;Raman shift;Intensity;Baseline;Corrected Intensity;intensity_norm;intensity_sub;linear_baseline;intensity_final
477;1685.31;23944.6;20698.19269955999;3246.407300440009;0.14107802547533002;-0.05976749767842951;-0.11476168087135613;0.05499418319292662
478;1688.43;23910.0;20694.30710855497;3215.692891445029;0.13974327977842804;-0.070227696588712;-0.11560479827141804;0.045377101682706034
479;1691.55;23664.1;20690.405959035503;2973.694040964496;0.12922681747609588;-0.07068683822194846;-0.11644791567147988;0.04576107744953142
480;1694.67;23454.2;20686.491255300407;2767.708744699594;0.12027538403456052;-0.07830148593554546;-0.11729103307154182;0.03898954713599635
481;1697.79;23283.0;20682.5650046222;2600.4349953778;0.11300622521244492;-0.07754290596176662;-0.11813415047160367;0.040591244509837046
482;1700.91;23236.8;20678.629217041096;2558.170782958903;0.11116956360947239;-0.08802526683888115;-0.1189772678716656;0.03095200103278445
483;1704.03;23270.7;20674.685905197755;2596.0140948022454;0.11281410762943632;-0.09578115751213799;-0.11982038527172745;0.024039227759589457
484;1707.14;23221.3;20670.737084291;2550.5629157090007;0.11083895109219853;-0.09202529504567113;-0.12066080037243021;0.028635505326759084
485;1710.26;23248.0;20666.784772115665;2581.215227884335;0.1121709982685844;-0.09725938247689103;-0.12150391777249206;0.024244535295601027
486;1713.37;23080.3;20662.830989017155;2417.4690109828443;0.10505513423131885;-0.10222167795695147;-0.12234433287319474;0.020122654916243266
487;1716.48;22728.2;20658.877757922077;2069.322242077924;0.08992583769293773;-0.10759619599616806;-0.1231847479738975;0.015588551977729445
488;1719.59;22371.3;20654.9271041745;1716.3728958254978;0.07458783717299312;-0.11048780249229685;-0.12402516307460018;0.013537360582303329
489;1722.7;22026.6;20650.98105518782;1375.6189448121768;0.05977980782456201;-0.11430009238613956;-0.12486557817530294;0.010565485789163387
490;1725.81;21645.2;20647.041640091807;998.1583599081932;0.043376630686006536;-0.11855710608570563;-0.12570599327600562;0.007148887190299991
491;1728.92;21403.0;20643.110889391835;759.8891106081646;0.03302224440238119;-0.11580350460818703;-0.12654640837670839;0.010742903768521356
492;1732.02;21103.9;20639.190834591434;464.70916540856706;0.02019470923049099;-0.12480957654268493;-0.1273841211780519;0.0025745446353669654
493;1735.12;20857.9;20635.283507954016;222.61649204598507;0.009674169698865379;-0.1380055186641398;-0.1282218339793954;-0.009783684684744387
494;1738.23;20828.9;20631.3909422077;197.50905779230015;0.008583084409357358;-0.12948245632802785;-0.12906224908009817;-0.00042020724792968256
495;1741.33;20796.3;20627.51517030321;168.78482969678953;0.007334825331555139;-0.12637144791211422;-0.12989996188144168;0.0035285139693274625
496;1744.43;20742.0;20623.65822538878;118.3417746112209;0.0051427385254877705;-0.13395906742521937;-0.13073767468278527;-0.003221392742434104
497;1747.53;20581.0;20619.822140781424;-38.82214078142351;-0.0016870806584947564;-0.13345924285558375;-0.13157538748412878;-0.0018838553714549677
498;1750.63;20548.1;20616.008949916515;-67.90894991651658;-0.0029510962980605444;-0.13974955179301282;-0.13241310028547235;-0.007336451507540476
499;1753.73;20619.4;20612.220647446105;7.179352553896024;0.00031199069887430337;-0.12803330084899903;-0.13325081308681588;0.005217512237816857
500;1756.83;20490.4;20608.45916018121;-118.05916018120843;-0.005130457045664955;-0.13887419104817164;-0.1340885258881594;-0.004785665160012248
501;1759.92;20522.2;20604.726414940025;-82.52641494002455;-0.003586322538061822;-0.13581685336253593;-0.13492353639014382;-0.0008933169723921164
502;1763.01;20485.2;20601.02422059965;-115.82422059965029;-0.005033334031192881;-0.13908736350783213;-0.13575854689212816;-0.0033288166157039722
503;1766.11;20522.7;20597.354303593296;-74.65430359329548;-0.0032442268543292374;-0.13397239052751014;-0.13659625969347167;0.002623869165961523
